0,1,2,3,4,5,6,7,8,9
1.0613341e-33,4.006424e-34,0.99999994,2.2379277e-21,0.0,0.0,4.0991053e-33,4.6153013e-22,5.078359e-38,0.0
0.99999994,7.23453e-32,8.0713654e-28,2.2963517e-30,0.0,7.450445e-23,1.5707334e-21,1.0750372e-26,5.1881976e-35,1.9141015e-33
4.49698e-07,1.2319047e-05,5.546681e-06,1.7300257e-05,0.016802892,1.0150679e-06,5.4350964e-09,0.024979355,4.7946796e-06,0.9581764
0.0014661085,1.4555802e-05,0.080792345,0.00017805024,0.36245584,0.0009864478,0.00027357266,0.007004011,0.0012827358,0.5455463
3.162543e-19,8.11532e-15,1.8991568e-09,0.99999994,3.8940666e-17,2.6895172e-13,2.2529592e-22,3.8221813e-13,9.174338e-10,8.729824e-13
6.123222e-17,1.2909476e-11,1.244406e-07,4.1183506e-07,2.3308466e-10,2.7997702e-14,1.9186955e-18,0.9999977,7.845682e-14,1.7420018e-06
0.99999994,0.0,1.385881e-22,6.547033e-32,1.4689051e-38,3.5948098e-38,1.9713904e-27,4.6771378e-30,5.210105e-38,2.6399378e-32
0.0,1.6404384e-32,2.8478124e-29,0.99999994,1.875824e-36,1.0786809e-26,0.0,1.7504504e-27,4.5022167e-30,1.0017878e-28
0.99999994,1.6075368e-33,4.29539e-30,2.1240584e-33,0.0,1.8749189e-25,1.3305371e-24,1.3248688e-25,0.0,1.2436619e-36
0.0,2.8210853e-28,2.066104e-25,0.99999994,1.17431996e-32,2.8737834e-23,0.0,1.2946214e-27,9.4984265e-28,1.0235591e-28
0.0,2.1054352e-37,5.2089924e-38,2.016866e-13,2.7441204e-37,0.99999994,1.4167099e-26,0.0,1.4083038e-19,8.536415e-21
7.201544e-17,9.2728913e-10,3.3433132e-08,2.7929908e-11,2.6968721e-14,1.2814201e-18,2.9114241e-21,0.99999994,3.677952e-16,1.2195404e-09
2.666925e-23,2.9283805e-11,3.7297465e-17,5.3658588e-17,0.99999994,6.5452316e-18,2.933814e-19,2.4305193e-12,3.79249e-08,9.718505e-09
0.99999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0562109e-13,8.8294166e-14,3.7714307e-12,2.1565304e-15,0.9998849,1.3160223e-11,1.1506734e-12,2.7152117e-08,7.716394e-12,0.00011502964
2.466589e-06,5.8312037e-07,0.00038185975,0.8869582,2.2347713e-09,0.014005165,1.908409e-08,2.3434032e-07,0.09827601,0.00037543225
3.8971031e-22,3.0363137e-17,1.02915594e-13,0.99999994,1.28428266e-26,2.2351387e-09,5.3154986e-24,8.360528e-19,2.955661e-20,2.4275906e-20
5.876324e-22,0.99999994,4.8359445e-15,1.5299778e-14,2.349442e-14,7.3468917e-16,3.9844033e-14,8.982019e-15,2.2242543e-14,1.6383558e-17
